Symbol,Token,Strike,Close Price
BANKNIFTY31JUL24C51500,50613,51500,391.85
BANKNIFTY31JUL24C51600,50615,51600,346.75
BANKNIFTY31JUL24C51700,50617,51700,306.1
BANKNIFTY31JUL24C51800,50619,51800,267.8
BANKNIFTY31JUL24C51900,50621,51900,238.85
BANKNIFTY31JUL24C52000,50625,52000,202.3
BANKNIFTY31JUL24C52100,50627,52100,179.25
BANKNIFTY31JUL24C52200,50629,52200,153.45
BANKNIFTY31JUL24C52300,50631,52300,132.25
BANKNIFTY31JUL24C52400,50633,52400,113.9
BANKNIFTY31JUL24C52500,50637,52500,96.5
BANKNIFTY31JUL24C52600,50640,52600,83.65
BANKNIFTY31JUL24C52700,50651,52700,71.75
BANKNIFTY31JUL24C52800,50653,52800,63.25
BANKNIFTY31JUL24C52900,50655,52900,55.05
BANKNIFTY31JUL24C53000,50665,53000,47.75
BANKNIFTY31JUL24C53100,50672,53100,41.3
BANKNIFTY31JUL24C53200,50677,53200,34.9
BANKNIFTY31JUL24C53300,50683,53300,32.45
BANKNIFTY31JUL24C53400,50685,53400,28.1
BANKNIFTY31JUL24C53500,50690,53500,24.35
BANKNIFTY31JUL24C53600,50692,53600,21.65
BANKNIFTY31JUL24C53700,50694,53700,19.15
BANKNIFTY31JUL24C53800,50696,53800,17.2
BANKNIFTY31JUL24C53900,50698,53900,15.6
BANKNIFTY31JUL24C54000,50700,54000,14.0
BANKNIFTY31JUL24C54100,50702,54100,12.85
BANKNIFTY31JUL24C54200,50715,54200,11.5
BANKNIFTY31JUL24C54300,63917,54300,10.45
BANKNIFTY31JUL24C54400,63919,54400,9.7
BANKNIFTY31JUL24C54500,50721,54500,8.55
BANKNIFTY31JUL24C54600,37314,54600,8.1
BANKNIFTY31JUL24C54700,37323,54700,7.65
BANKNIFTY31JUL24C54800,37353,54800,7.1
BANKNIFTY31JUL24C54900,37359,54900,6.55
BANKNIFTY31JUL24C55000,50723,55000,6.15
BANKNIFTY31JUL24C55100,37365,55100,5.8
BANKNIFTY31JUL24C55200,37371,55200,5.6
BANKNIFTY31JUL24C55300,37378,55300,5.55
BANKNIFTY31JUL24C55400,37406,55400,5.3
BANKNIFTY31JUL24C55500,50725,55500,5.2
BANKNIFTY31JUL24C55600,38490,55600,5.25
BANKNIFTY31JUL24C55700,38496,55700,5.1
BANKNIFTY31JUL24C55800,38500,55800,5.15
BANKNIFTY31JUL24C55900,38511,55900,5.1
BANKNIFTY31JUL24C56000,50729,56000,4.95
BANKNIFTY31JUL24C56100,38522,56100,5.05
BANKNIFTY31JUL24C56200,38528,56200,0.7
BANKNIFTY31JUL24C56300,38532,56300,0.55
BANKNIFTY31JUL24C56400,38534,56400,0.45
BANKNIFTY31JUL24C56500,50750,56500,4.75
BANKNIFTY31JUL24C56600,38541,56600,0.3
BANKNIFTY31JUL24C56700,38546,56700,0.25
BANKNIFTY31JUL24C56800,38550,56800,0.2
BANKNIFTY07AUG24P44800,40621,44800,0.35
BANKNIFTY07AUG24P44900,40623,44900,0.4
BANKNIFTY07AUG24P45000,40626,45000,0.45
BANKNIFTY07AUG24P45100,40629,45100,0.55
BANKNIFTY07AUG24P45200,40632,45200,0.7
BANKNIFTY07AUG24P45300,40634,45300,0.8
BANKNIFTY07AUG24P45400,40642,45400,1.0
BANKNIFTY07AUG24P45500,40645,45500,1.15
BANKNIFTY07AUG24P45600,40647,45600,1.4
BANKNIFTY07AUG24P45700,40649,45700,1.65
BANKNIFTY07AUG24P45800,40651,45800,1.95
BANKNIFTY07AUG24P45900,40655,45900,2.3
BANKNIFTY07AUG24P46000,40657,46000,2.7
BANKNIFTY07AUG24P46100,40659,46100,3.2
BANKNIFTY07AUG24P46200,40661,46200,3.75
BANKNIFTY07AUG24P46300,40663,46300,4.4
BANKNIFTY07AUG24P46400,40665,46400,5.15
BANKNIFTY07AUG24P46500,40668,46500,5.95
BANKNIFTY07AUG24P46600,40671,46600,7.0
BANKNIFTY07AUG24P46700,40680,46700,8.1
BANKNIFTY07AUG24P46800,40682,46800,9.4
BANKNIFTY07AUG24P46900,40686,46900,10.85
BANKNIFTY07AUG24P47000,40695,47000,13.65
BANKNIFTY07AUG24P47100,40701,47100,14.35
BANKNIFTY07AUG24P47200,40705,47200,16.5
BANKNIFTY07AUG24P47300,40708,47300,18.85
BANKNIFTY07AUG24P47400,40712,47400,21.5
BANKNIFTY07AUG24P47500,40714,47500,15.3
BANKNIFTY07AUG24P47600,40721,47600,27.8
BANKNIFTY07AUG24P47700,40728,47700,31.55
BANKNIFTY07AUG24P47800,40736,47800,35.7
BANKNIFTY07AUG24P47900,40742,47900,40.25
BANKNIFTY07AUG24P48000,40746,48000,24.15
BANKNIFTY07AUG24P48100,40757,48100,50.95
BANKNIFTY07AUG24P48200,40761,48200,57.15
BANKNIFTY07AUG24P48300,40764,48300,63.95
BANKNIFTY07AUG24P48400,40766,48400,71.4
BANKNIFTY07AUG24P48500,40769,48500,38.1
BANKNIFTY07AUG24P48600,40792,48600,88.5
BANKNIFTY07AUG24P48700,40800,48700,98.2
BANKNIFTY07AUG24P48800,40812,48800,108.4
BANKNIFTY07AUG24P48900,40816,48900,119.85
BANKNIFTY07AUG24P49000,40818,49000,62.9
BANKNIFTY07AUG24P49100,40827,49100,145.7
BANKNIFTY07AUG24P49200,40844,49200,67.85
BANKNIFTY07AUG24P49300,40846,49300,87.0
BANKNIFTY07AUG24P49400,40849,49400,192.5
BANKNIFTY07AUG24P49500,40893,49500,98.8
BANKNIFTY07AUG24P49600,40896,49600,229.7
BANKNIFTY07AUG24P49700,40904,49700,112.5
BANKNIFTY07AUG24P49800,40911,49800,135.8
BANKNIFTY07AUG24P49900,40914,49900,142.6
BANKNIFTY07AUG24P50000,40932,50000,163.0
BANKNIFTY07AUG24P50100,42160,50100,176.35
BANKNIFTY07AUG24P50200,42163,50200,190.8
BANKNIFTY07AUG24P50300,42165,50300,403.6
BANKNIFTY07AUG24P50400,42167,50400,232.75
BANKNIFTY07AUG24P50500,42182,50500,252.4
BANKNIFTY07AUG24P50600,42188,50600,288.9
BANKNIFTY07AUG24P50700,42191,50700,296.65
BANKNIFTY07AUG24C50800,42193,50800,1028.5
BANKNIFTY07AUG24C50900,42195,50900,976.6
BANKNIFTY07AUG24C51000,50189,51000,893.45
BANKNIFTY07AUG24C51100,50191,51100,833.55
BANKNIFTY07AUG24C51200,50193,51200,767.05
BANKNIFTY07AUG24C51300,50195,51300,705.15
BANKNIFTY07AUG24C51400,50197,51400,663.75
BANKNIFTY07AUG24C51500,50203,51500,594.8
BANKNIFTY07AUG24C51600,50205,51600,548.9
BANKNIFTY07AUG24C51700,50207,51700,498.35
BANKNIFTY07AUG24C51800,50209,51800,450.4
BANKNIFTY07AUG24C51900,50211,51900,416.15
BANKNIFTY07AUG24C52000,50213,52000,364.55
BANKNIFTY07AUG24C52100,50215,52100,342.1
BANKNIFTY07AUG24C52200,50217,52200,301.4
BANKNIFTY07AUG24C52300,50228,52300,265.4
BANKNIFTY07AUG24C52400,50233,52400,241.45
BANKNIFTY07AUG24C52500,50239,52500,214.15
BANKNIFTY07AUG24C52600,50242,52600,192.2
BANKNIFTY07AUG24C52700,50245,52700,169.6
BANKNIFTY07AUG24C52800,50249,52800,151.45
BANKNIFTY07AUG24C52900,50255,52900,136.8
BANKNIFTY07AUG24C53000,50263,53000,121.35
BANKNIFTY07AUG24C53100,50277,53100,110.45
BANKNIFTY07AUG24C53200,50281,53200,104.7
BANKNIFTY07AUG24C53300,50283,53300,74.3
BANKNIFTY07AUG24C53400,50294,53400,79.9
BANKNIFTY07AUG24C53500,50308,53500,70.1
BANKNIFTY07AUG24C53600,50311,53600,60.3
BANKNIFTY07AUG24C53700,50322,53700,58.55
BANKNIFTY07AUG24C53800,50324,53800,169.85
BANKNIFTY07AUG24C53900,50332,53900,49.8
BANKNIFTY07AUG24C54000,50334,54000,41.65
BANKNIFTY07AUG24C54100,50337,54100,131.4
BANKNIFTY07AUG24C54200,50339,54200,120.35
BANKNIFTY07AUG24C54300,50350,54300,110.05
BANKNIFTY07AUG24C54400,50354,54400,19.6
BANKNIFTY07AUG24C54500,50365,54500,29.15
BANKNIFTY07AUG24C54600,50389,54600,83.55
BANKNIFTY07AUG24C54700,50393,54700,76.05
BANKNIFTY07AUG24C54800,50397,54800,69.1
BANKNIFTY07AUG24C54900,50402,54900,62.7
BANKNIFTY07AUG24C55000,50423,55000,20.25
BANKNIFTY07AUG24C55100,50425,55100,25.0
BANKNIFTY07AUG24C55200,50428,55200,46.55
BANKNIFTY07AUG24C55300,50476,55300,42.05
BANKNIFTY07AUG24C55400,50478,55400,37.9
BANKNIFTY07AUG24C55500,50481,55500,15.3
BANKNIFTY07AUG24C55600,50485,55600,15.05
BANKNIFTY07AUG24C55700,50488,55700,27.6
BANKNIFTY07AUG24C55800,50490,55800,15.95
BANKNIFTY07AUG24C55900,50493,55900,22.2
BANKNIFTY07AUG24C56000,50509,56000,9.9
BANKNIFTY07AUG24C56100,50525,56100,17.8
BANKNIFTY07AUG24C56200,50527,56200,16.0
BANKNIFTY07AUG24C56300,50529,56300,14.25
BANKNIFTY07AUG24C56400,50540,56400,12.7
BANKNIFTY07AUG24C56500,50551,56500,10.35
BANKNIFTY07AUG24C56600,50553,56600,10.05
BANKNIFTY07AUG24C56700,50555,56700,8.9
BANKNIFTY07AUG24C56800,50561,56800,7.9
FINNIFTY30JUL24P19900,43063,19900,0.05
FINNIFTY30JUL24P19950,42480,19950,0.05
FINNIFTY30JUL24P20000,43065,20000,0.05
FINNIFTY30JUL24P20050,42482,20050,0.05
FINNIFTY30JUL24P20100,43067,20100,0.05
FINNIFTY30JUL24P20150,42484,20150,0.05
FINNIFTY30JUL24P20200,43070,20200,0.05
